"TOA5","5","CR1000","31419","CR1000.Std.18","CPU:ARGOS 2011 GITS.CR1","6477","Table046"
"TIMESTAMP","RECORD","LoggerID","Year","Day_of_Year","Hour","sw_in_Avg(1)","sw_ref_Avg","net_rad_Avg"
"TS","RN","","","","","","",""
"","","Smp","Smp","Smp","Smp","Avg","Avg","Avg"
"2011-06-01 17:00:00",0,5,2011,152,17,2.954,2.55,0.711
"2011-06-01 18:00:00",1,5,2011,152,18,2.948,2.471,1.53
"2011-06-01 19:00:00",2,5,2011,152,19,2.722,2.388,-0.551
"2011-06-01 20:00:00",3,5,2011,152,20,2.266,1.988,-0.403
"2011-06-01 21:00:00",4,5,2011,152,21,2.083,1.832,-0.124
"2011-06-01 22:00:00",5,5,2011,152,22,1.352,1.185,-0.988
"2011-06-01 23:00:00",6,5,2011,152,23,1.356,1.197,-0.716
"2011-06-02 00:00:00",7,5,2011,153,0,1.153,1.024,-1.304
"2011-06-02 01:00:00",8,5,2011,153,1,1.234,1.044,-2.164
"2011-06-02 02:00:00",9,5,2011,153,2,0.961,0.854,-1.876
"2011-06-02 03:00:00",10,5,2011,153,3,0.758,0.695,-1.944
"2011-06-02 04:00:00",11,5,2011,153,4,0.668,0.85,-6.35
"2011-06-02 05:00:00",12,5,2011,153,5,0.526,0.76,-3.687
"2011-06-02 06:00:00",13,5,2011,153,6,0.716,0.927,-2.444
"2011-06-02 07:00:00",14,5,2011,153,7,0.856,0.806,-1.844
"2011-06-02 08:00:00",15,5,2011,153,8,1.09,1.03,-3.398
"2011-06-02 09:00:00",16,5,2011,153,9,1.313,1.24,-2.63
"2011-06-02 10:00:00",17,5,2011,153,10,1.689,1.587,-2.333
"2011-06-02 11:00:00",18,5,2011,153,11,1.983,1.854,-2.211
"2011-06-02 12:00:00",19,5,2011,153,12,2.345,2.182,-1.689
"2011-06-02 13:00:00",20,5,2011,153,13,2.443,2.263,-0.922
"2011-06-02 14:00:00",21,5,2011,153,14,2.48,2.29,0.002
"2011-06-02 15:00:00",22,5,2011,153,15,2.806,2.588,-0.903
"2011-06-02 16:00:00",23,5,2011,153,16,2.692,2.481,-0.566
"2011-06-02 17:00:00",24,5,2011,153,17,2.789,2.554,-0.867
"2011-06-02 18:00:00",25,5,2011,153,18,2.921,2.638,-1.312
"2011-06-02 19:00:00",26,5,2011,153,19,2.866,2.544,-1.611
"2011-06-02 20:00:00",27,5,2011,153,20,2.224,1.97,-1.132
"2011-06-02 21:00:00",28,5,2011,153,21,1.792,1.613,-0.213
"2011-06-02 22:00:00",29,5,2011,153,22,2.096,1.847,-0.092
"2011-06-02 23:00:00",30,5,2011,153,23,1.439,1.263,-1.254
"2011-06-03 00:00:00",31,5,2011,154,0,1.146,1.011,-1.139
"2011-06-03 01:00:00",32,5,2011,154,1,0.809,0.738,-0.757
"2011-06-03 02:00:00",33,5,2011,154,2,0.714,0.657,-0.903
"2011-06-03 03:00:00",34,5,2011,154,3,0.682,0.638,-1.722
"2011-06-03 04:00:00",35,5,2011,154,4,0.584,0.602,-2.734
"2011-06-03 05:00:00",36,5,2011,154,5,0.563,0.626,-2.997
"2011-06-03 06:00:00",37,5,2011,154,6,0.544,0.559,-1.676
"2011-06-03 07:00:00",38,5,2011,154,7,0.743,0.691,-0.991
"2011-06-03 08:00:00",39,5,2011,154,8,0.972,0.894,0.104
"2011-06-03 09:00:00",40,5,2011,154,9,1.108,1.017,0.039
"2011-06-03 10:00:00",41,5,2011,154,10,1.333,1.223,0.061
"2011-06-03 11:00:00",42,5,2011,154,11,1.419,1.303,-0.443
"2011-06-03 12:00:00",43,5,2011,154,12,1.657,1.521,-0.727
"2011-06-03 13:00:00",44,5,2011,154,13,2.337,2.143,0
"2011-06-03 14:00:00",45,5,2011,154,14,2.579,2.365,0.22
"2011-06-03 15:00:00",46,5,2011,154,15,2.331,2.134,0.156
"2011-06-03 16:00:00",47,5,2011,154,16,2.205,2.013,0.629
"2011-06-03 17:00:00",48,5,2011,154,17,2.514,2.288,0.59
"2011-06-03 18:00:00",49,5,2011,154,18,2.43,2.207,0.544
"2011-06-03 19:00:00",50,5,2011,154,19,1.972,1.791,0.148
"2011-06-03 20:00:00",51,5,2011,154,20,2.223,2.004,0.52
"2011-06-03 21:00:00",52,5,2011,154,21,2.091,1.851,0.138
"2011-06-03 22:00:00",53,5,2011,154,22,2.297,1.964,0.403
"2011-06-03 23:00:00",54,5,2011,154,23,1.837,1.552,-0.467
"2011-06-04 00:00:00",55,5,2011,155,0,1.589,1.363,-0.736
"2011-06-04 01:00:00",56,5,2011,155,1,1.369,1.12,-2.387
"2011-06-04 02:00:00",57,5,2011,155,2,1.106,0.919,-3.273
"2011-06-04 03:00:00",58,5,2011,155,3,1.006,0.836,-3.764
"2011-06-04 04:00:00",59,5,2011,155,4,0.558,0.897,-9.58
"2011-06-04 05:00:00",60,5,2011,155,5,0.548,0.794,-3.293
"2011-06-04 06:00:00",61,5,2011,155,6,0.606,0.829,-3.296
"2011-06-04 07:00:00",62,5,2011,155,7,0.881,0.809,-0.618
"2011-06-04 08:00:00",63,5,2011,155,8,1.164,1.071,-2
"2011-06-04 09:00:00",64,5,2011,155,9,1.208,1.106,-1.257
"2011-06-04 10:00:00",65,5,2011,155,10,1.6,1.458,0.279
"2011-06-04 11:00:00",66,5,2011,155,11,1.509,1.377,0.158
"2011-06-04 12:00:00",67,5,2011,155,12,1.557,1.427,0.016
"2011-06-04 13:00:00",68,5,2011,155,13,1.826,1.673,0.087
"2011-06-04 14:00:00",69,5,2011,155,14,2.044,1.875,-0.099
"2011-06-04 15:00:00",70,5,2011,155,15,2.299,2.102,0.267
"2011-06-04 16:00:00",71,5,2011,155,16,2.308,2.112,0.193
"2011-06-04 17:00:00",72,5,2011,155,17,2.352,2.154,0.33
"2011-06-04 18:00:00",73,5,2011,155,18,2.04,1.873,0.045
"2011-06-04 19:00:00",74,5,2011,155,19,2.175,1.997,0.165
"2011-06-04 20:00:00",75,5,2011,155,20,1.809,1.661,0.155
"2011-06-04 21:00:00",76,5,2011,155,21,1.645,1.512,0.153
