"TOA5","0","CR1000","59715","CR1000.Std.26","CPU:GOES_SwissCamp10mtower2018_radarAh (2).CR1","47367","Table046"
"TIMESTAMP","RECORD","LoggerID","Year","Day_of_Year","Hour","sw_in_Avg","sw_ref_Avg","net_rad_Avg","tc_air_Avg","t_air1_Avg","t_air2_Avg","rh_Avg(1)","rh_Avg(2)","U_Avg(1)","U_Avg(2)","Dir_Avg(1)","Dir_Avg(2)","pressure_Avg","SD_1_Avg","SD_2_Avg","tc_air_Max","tc_air_Min","U_Max(1)","U_Max(2)","Battery"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Max","Min","Max","Max","Smp"
"2018-05-05 21:00:00",0,0,2018,125,21,3.093,1.944,0.283,-16.69,-11.6,-10.59,51.94,48.78,1,1.418,127.9,111.2,395,1.122,1.082,-16.63,-16.74,1.183,1.692,13.24
"2018-05-05 22:00:00",1,0,2018,125,22,2.594,1.567,0.005,-16.87,-17.07,-15.06,76.4,70.74,0.927,1.026,160.5,148,564.3,1.603,1.547,-16.24,-17.55,1.039,1.503,13.04
"2018-05-05 23:00:00",2,0,2018,125,23,1.69,0.874,-0.409,-18.19,-18.51,-14.91,79.73,68.83,0.901,1.012,114.7,90,564.7,1.606,1.551,-17.37,-19.43,1.052,1.895,12.82
"2018-05-06 00:00:00",3,0,2018,126,0,0.815,0.343,-1.719,-20.59,-20.89,-18.31,79.88,78.39,1.09,2.301,73.64,55.96,565.3,1.612,1.558,-19.47,-21.59,1.405,2.568,12.72
"2018-05-06 01:00:00",4,0,2018,126,1,0.178,0.074,-2.185,-22.95,-23.33,-20.45,80.5,79.87,1.333,3.003,87.9,59.13,565.8,1.621,1.566,-21.56,-25.35,1.725,4.077,12.68
"2018-05-06 02:00:00",5,0,2018,126,2,0.021,0.014,-2.086,-25.56,-26.12,-22.73,79.49,77.12,2.187,4.318,87.7,68.09,566.2,1.63,1.574,-24.99,-26.11,2.737,4.756,12.66
"2018-05-06 03:00:00",6,0,2018,126,3,0.005,0.004,-1.844,-25.51,-26.11,-24.01,79.07,75.88,2.56,4.149,82.9,68.83,566.5,1.628,1.573,-24.95,-26.07,3.299,4.743,12.65
"2018-05-06 04:00:00",7,0,2018,126,4,0.003,0.002,-1.616,-24.64,-25.27,-22.65,79.51,76.63,2.392,3.933,99.3,75.84,566.7,1.627,1.572,-24.1,-25.16,2.751,4.43,12.64
"2018-05-06 05:00:00",8,0,2018,126,5,0.009,0.008,-1.274,-24.08,-24.71,-20.81,79.65,77.73,1.994,3.511,113.2,85.9,567.1,1.626,1.571,-22.79,-24.94,2.548,4.338,12.63
"2018-05-06 06:00:00",9,0,2018,126,6,0.038,0.032,-0.42,-21.95,-22.57,-20.15,81,78.23,1.583,2.436,139.6,107.6,567.6,1.619,1.564,-20.94,-22.88,2.006,3.156,12.63
"2018-05-06 07:00:00",10,0,2018,126,7,0.146,0.121,-0.374,-20.24,-20.74,-19.35,81.7,78.62,1.483,2.118,154.4,124.5,568.1,1.613,1.56,-19.97,-20.91,1.718,2.437,12.63
"2018-05-06 08:00:00",11,0,2018,126,8,0.487,0.409,0.04,-20.26,-20.67,-19.43,81.2,78.37,1.566,2.291,154.3,117.1,568.5,1.613,1.56,-20.06,-20.6,1.842,2.594,12.66
"2018-05-06 09:00:00",12,0,2018,126,9,1.058,0.89,-0.029,-21.34,-21.73,-19.98,78.79,76.9,2.159,3.255,117,87.5,569.1,1.614,1.562,-20.49,-21.99,2.679,3.998,12.73
"2018-05-06 10:00:00",13,0,2018,126,10,1.943,1.629,-0.522,-20.36,-20.72,-19.36,77.97,75.53,2.596,3.453,122.8,92.9,569.6,1.61,1.568,-19.69,-20.89,3.456,4.338,12.84
"2018-05-06 11:00:00",14,0,2018,126,11,2.667,2.247,-1.787,-19.35,-19.66,-18.46,77.85,74.71,2.503,3.251,145.7,109.6,569.9,1.607,1.557,-18.95,-19.93,3.195,3.933,12.94
"2018-05-06 12:00:00",15,0,2018,126,12,4.112,3.466,-4.208,-18.34,-18.55,-17.42,76.99,73.7,2.815,3.282,154.5,118.2,570.2,1.605,1.55,-17.82,-18.94,3.809,3.966,13.11
"2018-05-06 13:00:00",16,0,2018,126,13,4.87,4.041,-5.148,-17.56,-17.73,-16.72,76.95,73.52,3.583,3.933,161.7,125.7,570.5,1.602,1.547,-17.21,-17.96,4.436,4.697,13.26
"2018-05-06 14:00:00",17,0,2018,126,14,5.88,4.943,-7.035,-17.19,-17.32,-16.44,75.84,73.06,3.879,4.2,184.9,148.9,570.9,1.605,1.547,-16.67,-17.45,4.671,5.044,13.43
"2018-05-06 15:00:00",18,0,2018,126,15,6.544,5.497,-8.07,-16.71,-16.79,-15.78,74.9,71.01,3.526,3.74,182.2,145.7,570.9,1.603,1.546,-16.31,-17.06,4.443,4.73,13.57
"2018-05-06 16:00:00",19,0,2018,126,16,6.469,5.372,-7.995,-16.47,-16.61,-15.67,74.72,70.62,3.738,3.99,180.5,144.5,571,1.597,1.544,-16.17,-16.81,4.547,4.671,13.7
"2018-05-06 17:00:00",20,0,2018,126,17,5.861,4.734,-5.436,-16.37,-16.56,-15.66,75.09,70.55,3.506,3.745,182.1,145.9,571.1,1.596,1.542,-15.97,-16.65,4.168,4.501,13.48
"2018-05-06 18:00:00",21,0,2018,126,18,5.912,4.668,-2.936,-16.02,-16.22,-15.11,73.07,66.76,2.76,2.959,185,148.4,571.3,1.595,1.541,-15.31,-16.68,4.181,4.279,13.23
"2018-05-06 19:00:00",22,0,2018,126,19,5.464,4.238,-0.939,-15.84,-16.06,-14.65,72.24,64.39,1.785,2.127,209.5,172.8,571.4,1.596,1.541,-14.83,-16.51,3.162,3.502,13.32
